time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/std,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl
1,62.6,2048,-361.3559392666666,0,2825,,,,,,,,,,,
2,67.58333333333333,4096,-369.65729548333337,1,2100,-1.4349321335554124,0.0005374399391671351,1.0216865539550781,10,0.12384784974010783,-0.0010765954168164172,0.019091796875,1213.6615175247193,754.9558715820312,0.0017998218536376953,0.0012946723
3,67.25555555555556,6144,-375.1271805222222,3,1955,-1.432993583381176,0.0005374399391671351,1.005989670753479,20,0.12384784974010783,-0.0015227159296046012,0.024267578125,1383.1003789901733,875.7498168945312,0.0007105469703674316,0.0009334866
4,65.71,8192,-369.00764815,4,1885,-1.4249873243272304,0.0005374399391671351,1.0058008432388306,30,0.12384784974010783,-0.00021793545311084018,0.000927734375,1205.2025508880615,674.9149169921875,0.0002270340919494629,0.00045564948
5,65.56,10240,-360.69563795,5,1844,-1.4210583135485648,0.0005374399391671351,1.0001318454742432,40,0.12384784974010783,-0.002144465849414701,0.037890625,1133.3094341278077,616.8944091796875,0.0003268718719482422,0.0012390097
6,70.64,12288,-386.19302062,6,1801,-1.4005145777016879,0.0005374399391671351,0.9730786681175232,50,0.12384784974010783,-0.002795990892627742,0.035107421875,1213.4768058776856,954.8385620117188,0.00010520219802856445,0.0017440291
7,72.94,14336,-387.63217757,8,1789,-1.3888860065490007,0.0005374399391671351,0.9688270092010498,60,0.12384784974010783,-0.00045890700130257756,0.02421875,1179.8777622222901,618.43701171875,4.4345855712890625e-05,0.00091137295
8,74.02,16384,-387.40234361999995,9,1788,-1.3912052113562823,0.0005374399391671351,0.9858802556991577,70,0.12384784974010783,0.00027627935414784586,0.08564453125,1215.2046144485473,843.5399780273438,1.0192394256591797e-05,0.02472993
9,64.03,18432,-323.9525355,10,1784,-1.4092168256640434,0.0005374399391671351,0.9940174221992493,80,0.12384784974010783,-0.001833697099937126,0.042626953125,1072.207559967041,621.62109375,2.86102294921875e-05,0.0020079971
10,62.27,20480,-330.86179237,11,1777,-1.397987188398838,0.0005374399391671351,0.975150465965271,90,0.12384784974010783,0.0030167173550580627,0.129931640625,980.5877868652344,681.8204345703125,3.2961368560791016e-05,0.01638733
11,62.67,22528,-350.95271211999994,12,1770,-1.3983531717211009,0.0005374399391671351,0.9809337854385376,100,0.12384784974010783,-0.0005815400807477999,0.0048828125,1196.6969163894653,1177.2313232421875,1.1980533599853516e-05,0.00071884325
12,69.51,24576,-397.8279299,13,1765,-1.401414104923606,0.0005374399391671351,0.9851061105728149,110,0.12384784974010783,-0.0002441299642669037,0.0017578125,1098.1630800247192,557.9265747070312,1.3589859008789062e-05,0.00066935713
13,73.08,26624,-405.8485729100001,15,1760,-1.4083737086504697,0.0005374399391671351,0.9951037764549255,120,0.12384784974010783,-0.0015907860695733688,0.032177734375,1293.2320253372193,900.625244140625,1.2576580047607422e-05,0.0020640371
14,71.53,28672,-412.31164904999997,16,1756,-1.407984770834446,0.0005374399391671351,0.996418833732605,130,0.12384784974010783,0.0071793341106968,0.14736328125,1266.346879196167,832.6868286132812,2.0265579223632812e-05,0.001601062
