time/iterations,time/time_elapsed,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/policy_gradient_loss,train/n_updates,train/std,train/loss,train/explained_variance,train/approx_kl,train/clip_range,train/value_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
1,0,3340,57.50660316666666,1664,69.20833333333333,,,,,,,,,,,
2,1,2336,94.69398767346938,3328,67.06122448979592,-0.00436139061796264,10,0.979322075843811,0.4730047583580017,-0.01791083812713623,0.0049481234,0.1618259529960692,476.4499484722431,0.0006491684215919559,-1.4071893847905672,0.06316105769230769
3,2,2136,77.79668405970148,4992,74.50746268656717,-0.007198720282086959,20,0.9560515284538269,0.884979784488678,0.37964940071105957,0.005204563,0.1618259529960692,573.5639497023362,0.0006491684215919559,-1.3858281942514272,0.06893028846153847
4,3,2022,85.79235480208332,6656,68.875,-0.006747298599937214,30,0.9248051643371582,0.9024820327758789,0.47325366735458374,0.0066431686,0.1618259529960692,416.84067781888524,0.0006491684215919559,-1.3547368604403276,0.08383413461538461
5,4,1956,82.34365788999999,8320,61.69,-0.006359209439072471,40,0.9095827341079712,0.9038121700286865,0.4415314197540283,0.0031908746,0.1618259529960692,562.8212525587816,0.0006491684215919559,-1.3311986185037172,0.07349759615384616
6,5,1917,83.07875286999999,9984,63.48,-0.006335603529945589,50,0.8701295852661133,0.7791677117347717,0.2858167290687561,0.006479132,0.1618259529960692,498.41629732572113,0.0006491684215919559,-1.2984140263153956,0.07247596153846154
7,7,1615,119.61424826999999,11648,60.22,-0.0056740222319674035,60,0.8455978631973267,0.6852213740348816,0.42090004682540894,0.004456917,0.1618259529960692,387.46327526385966,0.0006491684215919559,-1.2635656155072725,0.05390625
8,9,1446,127.87390687999999,13312,62.47,-0.005650461871678439,70,0.8211882710456848,1.0521550178527832,0.40729689598083496,0.0043108733,0.1618259529960692,636.0943018986628,0.0006491684215919559,-1.234348697387255,0.05432692307692308
9,11,1338,136.66723414999998,14976,63.41,-0.0075648093954301795,80,0.7692663073539734,0.48485422134399414,0.5625512301921844,0.007826834,0.1618259529960692,443.3337450467623,0.0006491684215919559,-1.1829307982554802,0.0829326923076923
10,13,1264,131.63624563999997,16640,51.5,-0.006850834851726316,90,0.7433179020881653,1.019234299659729,0.4716000556945801,0.005240553,0.1618259529960692,567.9883743286133,0.0006491684215919559,-1.1377082026921785,0.08221153846153846
11,15,1207,135.55129794,18304,52.32,-0.007344595478990903,100,0.7122262120246887,0.7130454182624817,0.6198666095733643,0.0062527806,0.1618259529960692,498.86251467191255,0.0006491684215919559,-1.0981112947830787,0.07686298076923077
12,17,1161,186.90257683,19968,57.82,-0.006430540477427153,110,0.6879062652587891,1.142891764640808,0.15340930223464966,0.0055008004,0.1618259529960692,685.999639070951,0.0006491684215919559,-1.0611256691125723,0.053245192307692306
13,19,1116,228.07428089,21632,65.61,-0.005573778341595943,120,0.6742944717407227,1.2177037000656128,0.2613852620124817,0.0045892433,0.1618259529960692,711.0875967172476,0.0006491684215919559,-1.0331503968972426,0.08605769230769231
14,21,1088,262.34083191,23296,68.9,-0.00877046996476845,130,0.6535380482673645,1.2237417697906494,0.0953170657157898,0.007403176,0.1618259529960692,706.3911817110502,0.0006491684215919559,-1.0069120067816515,0.09405048076923077
15,23,1061,303.31147892000007,24960,66.43,-0.0011448249507408875,140,0.6372950077056885,1.4386717081069946,0.17214840650558472,0.006459817,0.1618259529960692,854.6652120736929,0.0006491684215919559,-0.9788729397150187,0.109375
16,25,1040,318.06687304,26624,64.57,-0.008751365789570488,150,0.6074314117431641,1.0825750827789307,0.31685060262680054,0.008858922,0.1618259529960692,688.7328728309044,0.0006491684215919559,-0.9397509694099426,0.10649038461538461
17,27,1023,325.46115038000005,28288,63.82,-0.0041660738482068365,160,0.5912917852401733,1.086277961730957,0.2606555223464966,0.0075408635,0.1618259529960692,760.4679882342999,0.0006491684215919559,-0.9010892746540217,0.1266826923076923
18,29,1008,407.95450380999995,29952,74.6,-0.0071303285998650465,170,0.5771535634994507,1.0237715244293213,0.25352615118026733,0.007089026,0.1618259529960692,697.8123260498047,0.0006491684215919559,-0.8833838011209781,0.12097355769230769
19,31,996,421.49976202,31616,77.3,-0.004299485783737439,180,0.5629516243934631,0.9491145014762878,0.42688077688217163,0.005286201,0.1618259529960692,615.5025910597581,0.0006491684215919559,-0.8578946510186563,0.08984375
20,33,986,424.8767577700001,33280,78.1,-0.0049784163192201115,190,0.5413126349449158,1.0961756706237793,0.4501073956489563,0.0065914844,0.1618259529960692,639.2647013737605,0.0006491684215919559,-0.8219912047569569,0.09621394230769231
21,35,976,438.96239805000005,34944,81.95,-0.006190158813618697,200,0.5177097320556641,0.9375483989715576,0.43788933753967285,0.0100994455,0.1618259529960692,672.1894447913537,0.0006491684215919559,-0.7778532064878023,0.1444110576923077
22,37,967,508.49808597000003,36608,83.73,-0.0009217852547478217,210,0.49961453676223755,1.0045270919799805,0.4777054190635681,0.009158773,0.1618259529960692,578.8797491220328,0.0006491684215919559,-0.7430206422622387,0.12283653846153846
23,39,959,531.61279571,38272,82.32,-0.004931732670117456,220,0.4830750524997711,0.8389572501182556,0.49337339401245117,0.006110157,0.1618259529960692,393.48474044799804,0.0006491684215919559,-0.7037791827550302,0.09110576923076923
24,41,952,574.1004236199999,39936,88.46,-0.0075213169186519315,230,0.46025630831718445,0.7975854277610779,0.5272104740142822,0.010214899,0.1618259529960692,387.5917561457707,0.0006491684215919559,-0.662020670909148,0.11676682692307692
25,43,946,614.880236,41600,90.72,0.01169428014411376,240,0.4451506435871124,0.6015160083770752,0.6710754036903381,0.15408659,0.1618259529960692,484.2378257164588,0.0006491684215919559,-0.6236900978363478,0.15216346153846153
26,45,940,662.6069490799999,43264,100.5,-0.0002980686562995498,250,0.43422582745552063,0.9277944564819336,0.7045032382011414,0.0112077,0.1618259529960692,426.6780328603891,0.0006491684215919559,-0.5914704996805925,0.1576923076923077
27,48,934,717.2590679200001,44928,104.64,-0.00480966681184677,260,0.4252881705760956,0.5484441518783569,0.7738506346940994,0.011415756,0.1618259529960692,400.75800241323617,0.0006491684215919559,-0.56821492428963,0.1609375
28,50,929,738.38822524,46592,111.23,-0.006023604768471649,270,0.42101022601127625,0.6893301010131836,0.7021967470645905,0.010481677,0.1618259529960692,373.9430995647724,0.0006491684215919559,-0.5588383472882784,0.17103365384615385
